Fecha procesado,2026-04-15 16:51:47
Fecha y Hora,2026-04-15 15:19:13
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),2.5
Velocidad (mm/min),1000
Sigma (automatico),1.0
Archivo origen,Measurement_Parallelepiped_150x150x150_15.csv

X,Y,Z,Time (s),x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
-15.0,0.0,-75.0,0.75,-32.43940463866692,467.93727556577255,-16.10597380053106,469.3337437786614
-30.0,0.0,-75.0,0.75,-32.33869823475854,468.02348131262335,-15.771089773690992,469.40348131262346
-45.0,0.0,-75.0,0.75,-32.40298690026552,467.8942886655069,-15.417063574222048,469.2642886655069
-60.0,0.0,-75.0,0.75,-32.547013099734464,467.41919264711635,-15.14651868737655,468.7891926471164
-75.0,0.0,-75.0,0.75,-32.71298690026553,466.1934308381358,-15.209455113154503,467.5834308381358
-75.0,15.0,-75.0,0.75,-31.11158418604891,466.45755798657996,-15.664884026840067,467.74755798658
-60.0,15.0,-75.0,0.75,-31.817063574222047,467.7135012673928,-16.052230021869562,469.0635012673928
-45.0,15.0,-75.0,0.75,-32.21184665208696,468.104621560802,-16.16701309973447,469.484621560802
-30.0,15.0,-75.0,0.75,-32.39641773840139,468.16646821288896,-16.196518687376553,469.556468212889
-15.0,15.0,-75.0,0.75,-32.49537843919798,468.113269321073,-16.254571086314435,469.513269321073
0.0,15.0,-75.0,0.75,-32.49999999999999,468.0884158139511,-16.402986900265528,469.49841581395106
15.0,15.0,-75.0,0.75,-32.451089773690995,468.11054488684545,-16.5694551131545,469.52054488684547
30.0,15.0,-75.0,0.75,-32.37542891368555,468.17423819101936,-16.68132172001086,469.5842381910193
45.0,15.0,-75.0,0.75,-32.33239153893245,468.0334813126234,-16.828910226309006,469.44348131262336
60.0,15.0,-75.0,0.75,-32.477820452618005,467.5349345013276,-17.033148417328416,468.96493450132755
75.0,15.0,-75.0,0.75,-32.4469626252469,466.4559233260434,-16.987608461067545,467.8859233260434
75.0,30.0,-75.0,0.75,-33.99940463866692,466.40716452319714,-18.012936425777948,467.9871645231972
60.0,30.0,-75.0,0.75,-33.256417738401396,467.695973800531,-18.112986900265525,469.22244201342005
45.0,30.0,-75.0,0.75,-32.678102873425466,468.3176084610675,-17.664076673956522,469.78760846106746
30.0,30.0,-75.0,0.9999999999999998,-32.42103929920341,468.55566086000533,-17.087557986579966,469.9826739597399
15.0,30.0,-75.0,0.75,-32.44994952551242,468.60516644764755,-16.70075687839596,470.02163466053645
0.0,30.0,-75.0,0.75,-32.50244201342003,468.60542891368544,-16.482986900265526,470.01542891368547
-15.0,30.0,-75.0,0.75,-32.616569161864135,468.65701309973446,-16.428910226309004,470.0705448868455
-30.0,30.0,-75.0,0.75,-32.468960700796586,468.72597380053105,-16.625973800531057,470.1359738005311
-45.0,30.0,-75.0,0.75,-31.999455113154504,468.66488402684007,-16.937507512092385,470.05488402683994
-60.0,30.0,-75.0,0.75,-31.0262562213385,468.081352239729,-16.937608461067548,469.411352239729
-75.0,30.0,-75.0,0.75,-29.44792140159317,466.7661047978757,-16.094026199468942,467.96610479787574
-75.0,45.0,-75.0,0.75,-27.714026199468936,466.8970130997344,-16.167013099734472,467.99701309973443
-60.0,45.0,-75.0,0.75,-30.141301765241455,468.49696262524685,-17.895923326043476,469.80343083813574
-45.0,45.0,-75.0,0.75,-31.656185792081516,469.2942886655069,-17.97,470.6942886655069
-30.0,45.0,-75.0,0.75,-32.43348131262344,469.5740766739564,-17.521089773690992,471.0140766739565
-15.0,45.0,-75.0,0.9999999999999998,-32.70994952551242,469.5819476010621,-17.13353178711102,471.028415813951
0.0,45.0,-75.0,0.75,-32.60661963635171,469.56189712657454,-17.0394551131545,470.9954289136855
15.0,45.0,-75.0,0.75,-32.610544886845496,469.35189712657456,-17.358910226309007,470.8018971265746
30.0,45.0,-75.0,0.75,-32.739999999999995,469.1870130997344,-17.99402619946894,470.6670130997344
45.0,45.0,-75.0,0.75,-33.32005047448758,468.66724504605435,-18.86651868737655,470.22724504605424
60.0,45.0,-75.0,0.75,-34.36075687839596,467.68924312160397,-19.32,469.33924312160406
75.0,45.0,-75.0,0.75,-35.836468212888974,466.0865186873765,-18.736518687376552,467.83651868737644
75.0,60.0,-75.0,0.75,-37.6980019244503,465.35140271421653,-18.598466288438665,467.24140271421663
60.0,60.0,-75.0,0.75,-35.72054488684549,467.2527244342274,-20.208910226309005,469.04272443422747
45.0,60.0,-75.0,0.75,-34.20561038551786,468.6524924879075,-19.894571086314436,470.3130373747531
30.0,60.0,-75.0,0.75,-33.34239153893245,469.52005047448745,-19.052936425777947,471.08005047448756
15.0,60.0,-75.0,0.75,-32.964621560802016,470.0718971265745,-18.30755798657997,471.57244201342
0.0,60.0,-75.0,0.75,-32.93054488684549,470.32724504605426,-17.99054488684549,471.8172450460543
-15.0,60.0,-75.0,0.75,-32.72511597315994,470.3411907226661,-18.12293642577795,471.82119072266613
-30.0,60.0,-75.0,0.75,-32.21049441235791,470.165378439198,-18.638102873425463,471.63239153893244
-45.0,60.0,-75.0,0.75,-31.034571086314436,469.5745710863144,-19.010544886845498,470.97511597315986
-60.0,60.0,-75.0,0.75,-28.744571086314437,468.46163466053645,-18.300544886845497,469.6916346605364
-75.0,60.0,-75.0,0.75,-25.604621560802016,466.68249248790755,-14.667063574222048,467.6124924879077
-75.0,75.0,-75.0,0.75,-23.961089773690993,466.508910226309,-9.551089773690993,467.218910226309
-60.0,75.0,-75.0,0.75,-27.185903371274073,467.7710698189215,-16.882634050201098,468.85998004523054
-45.0,75.0,-75.0,0.75,-29.989999999999995,469.02085782737106,-19.270494412357916,470.37085782737114
-30.0,75.0,-75.0,0.75,-31.741897126574532,469.8835822615986,-19.552986900265527,471.3535822615985
