Fecha y Hora,2025-10-03 13:33:54
X,Y,Z,Gauss
0.0,0.0,0.0,443.87
0.0,0.0,77.5,443.83
16.11315603837635,0.0,75.80643905686995,443.89
15.76104491918726,3.3501135163492157,75.80643905686995,443.85
14.72010050714516,6.5538109964057565,75.80643905686995,443.87
13.03581706806177,9.47107548724503,75.80643905686995,443.89
10.781805870313665,11.974408532029214,75.80643905686995,443.92
8.056578019188176,13.954402464376543,75.80643905686995,443.88
4.979239048873595,15.324522048378428,75.80643905686995,443.88
1.6842834390833907,16.024886483650786,75.80643905686995,443.79
-1.6842834390833923,16.024886483650786,75.80643905686995,443.85
-4.979239048873593,15.32452204837843,75.80643905686995,443.88
-8.056578019188171,13.954402464376544,75.80643905686995,443.84
-10.781805870313665,11.974408532029214,75.80643905686995,443.85
-13.035817068061768,9.471075487245031,75.80643905686995,443.8
-14.720100507145158,6.55381099640576,75.80643905686995,443.81
-15.76104491918726,3.3501135163492153,75.80643905686995,443.74
-16.11315603837635,1.973292496655944e-15,75.80643905686995,443.75
-15.761044919187258,-3.3501135163492184,75.80643905686995,443.71
-14.72010050714516,-6.5538109964057565,75.80643905686995,443.75
-13.035817068061771,-9.471075487245027,75.80643905686995,443.79
-10.781805870313663,-11.974408532029216,75.80643905686995,443.74
-8.056578019188182,-13.954402464376539,75.80643905686995,443.72
-4.9792390488735965,-15.324522048378428,75.80643905686995,443.77
-1.6842834390833892,-16.024886483650786,75.80643905686995,443.77
1.6842834390833832,-16.024886483650786,75.80643905686995,443.72
4.979239048873591,-15.32452204837843,75.80643905686995,443.74
8.056578019188176,-13.954402464376543,75.80643905686995,443.77
10.781805870313658,-11.97440853202922,75.80643905686995,443.84
13.035817068061768,-9.471075487245033,75.80643905686995,443.86
14.720100507145162,-6.553810996405755,75.80643905686995,443.87
15.761044919187258,-3.350113516349224,75.80643905686995,443.86
0.0,0.0,0.0,443.83,Centro
31.522089838374516,0.0,70.79977296730156,443.91
30.83325654552151,6.553810996405756,70.79977296730156,443.97
28.796861987249024,12.821189003594244,70.79977296730156,443.97
25.501906377458823,18.528219528434967,70.79977296730156,443.98
21.092395087249944,23.425477951621573,70.79977296730156,443.97
15.761044919187261,27.29893058040764,70.79977296730156,443.93
9.740861458271565,29.979288948027325,70.79977296730156,443.95
3.294955609790203,31.349408532029212,70.79977296730156,443.87
-3.2949556097902057,31.349408532029212,70.79977296730156,443.88
-9.740861458271562,29.979288948027328,70.79977296730156,443.82
-15.76104491918725,27.298930580407642,70.79977296730156,443.82
-21.092395087249944,23.425477951621573,70.79977296730156,443.89
-25.50190637745882,18.52821952843497,70.79977296730156,443.8
-28.796861987249024,12.82118900359425,70.79977296730156,443.79
-30.83325654552151,6.553810996405755,70.79977296730156,443.75
-31.522089838374516,3.860342642300066e-15,70.79977296730156,443.72
-30.833256545521508,-6.553810996405761,70.79977296730156,443.67
-28.796861987249024,-12.821189003594244,70.79977296730156,443.71
-25.501906377458827,-18.528219528434963,70.79977296730156,443.62
-21.09239508724994,-23.425477951621577,70.79977296730156,443.59
-15.761044919187272,-27.29893058040763,70.79977296730156,443.58
-9.740861458271569,-29.979288948027325,70.79977296730156,443.54
-3.2949556097902,-31.349408532029216,70.79977296730156,443.58
3.294955609790188,-31.349408532029216,70.79977296730156,443.63
9.740861458271558,-29.979288948027328,70.79977296730156,443.59
15.761044919187261,-27.29893058040764,70.79977296730156,443.62
21.09239508724993,-23.425477951621584,70.79977296730156,443.61
25.50190637745882,-18.528219528434974,70.79977296730156,443.64
28.796861987249027,-12.821189003594242,70.79977296730156,443.78
30.833256545521508,-6.5538109964057725,70.79977296730156,443.79
0.0,0.0,0.0,443.72,Centro
45.55335705266667,0.0,62.698817064058424,443.87
44.55790690643629,9.47107548724503,62.698817064058424,443.85
41.61506241583517,18.52821952843497,62.698817064058424,443.88
36.853440006437204,26.775591467970788,62.698817064058424,443.88
30.48114542633242,33.8527415768134,62.698817064058424,443.77
22.77667852633334,39.450364435272355,62.698817064058424,443.81
14.076761480103869,43.323817064058424,62.698817064058424,443.79
4.761622409397971,45.30381099640576,62.698817064058424,443.78
-4.761622409397975,45.30381099640576,62.698817064058424,443.66
-14.076761480103864,43.32381706405843,62.698817064058424,443.71
-22.776678526333324,39.45036443527236,62.698817064058424,443.61
-30.48114542633242,33.8527415768134,62.698817064058424,443.61
-36.8534400064372,26.775591467970795,62.698817064058424,443.57
-41.61506241583517,18.52821952843498,62.698817064058424,443.7
-44.55790690643629,9.47107548724503,62.698817064058424,443.66
-45.55335705266667,5.578677290496474e-15,62.698817064058424,443.63
-44.55790690643629,-9.471075487245038,62.698817064058424,443.55
-41.61506241583517,-18.52821952843497,62.698817064058424,443.57
-36.85344000643721,-26.775591467970784,62.698817064058424,443.44
-30.481145426332414,-33.8527415768134,62.698817064058424,443.4
-22.776678526333356,-39.45036443527235,62.698817064058424,443.27
-14.076761480103874,-43.323817064058424,62.698817064058424,443.32
-4.761622409397966,-45.30381099640576,62.698817064058424,443.32
4.761622409397949,-45.30381099640576,62.698817064058424,443.36
14.076761480103858,-43.32381706405843,62.698817064058424,443.4
22.77667852633334,-39.450364435272355,62.698817064058424,443.44
30.4811454263324,-33.852741576813415,62.698817064058424,443.52
36.8534400064372,-26.7755914679708,62.698817064058424,443.62
41.615062415835176,-18.528219528434967,62.698817064058424,443.72
44.55790690643629,-9.471075487245054,62.698817064058424,443.73
0.0,0.0,0.0,443.6,Centro
57.593723974498054,0.0,51.85762199281152,443.82
56.33516292298034,11.974408532029214,51.85762199281152,443.87
52.61448492562446,23.425477951621573,51.85762199281152,443.86
46.59430146470877,33.8527415768134,51.85762199281152,443.79
38.53772344552059,42.80047795162157,51.85762199281152,443.8
28.796861987249034,49.87762806046418,51.85762199281152,443.73
17.79743947745974,54.77488648365078,51.85762199281152,443.57
6.020183460915693,57.27821952843497,51.85762199281152,443.62
-6.020183460915698,57.27821952843497,51.85762199281152,443.63
-17.797439477459736,54.77488648365079,51.85762199281152,443.66
-28.796861987249013,49.87762806046418,51.85762199281152,443.64
-38.53772344552059,42.80047795162157,51.85762199281152,443.63
-46.594301464708764,33.8527415768134,51.85762199281152,443.55
-52.61448492562445,23.425477951621584,51.85762199281152,443.55
-56.33516292298034,11.974408532029212,51.85762199281152,443.51
-57.593723974498054,7.053196971634522e-15,51.85762199281152,443.43
-56.33516292298033,-11.974408532029223,51.85762199281152,443.5
-52.61448492562446,-23.425477951621573,51.85762199281152,443.33
-46.59430146470878,-33.85274157681339,51.85762199281152,443.29
-38.53772344552059,-42.80047795162158,51.85762199281152,443.29
-28.796861987249052,-49.87762806046417,51.85762199281152,443.2
-17.797439477459747,-54.77488648365078,51.85762199281152,443.14
-6.020183460915686,-57.278219528434974,51.85762199281152,443.16
6.020183460915665,-57.278219528434974,51.85762199281152,443.24
17.79743947745973,-54.77488648365079,51.85762199281152,443.37
28.796861987249034,-49.87762806046418,51.85762199281152,443.4
38.53772344552057,-42.800477951621595,51.85762199281152,443.45
46.594301464708764,-33.85274157681341,51.85762199281152,443.59
52.61448492562447,-23.42547795162157,51.85762199281152,443.78
56.33516292298033,-11.974408532029244,51.85762199281152,443.87
0.0,0.0,0.0,443.63,Centro
67.11696879329399,0.0,38.75000000000001,443.95
65.65030199368623,13.954402464376543,38.75000000000001,443.96
61.31440197185392,27.29893058040764,38.75000000000001,443.95
54.29876836470785,39.450364435272355,38.75000000000001,443.87
44.91001802562538,49.87762806046418,38.75000000000001,443.86
33.558484396647,58.12499999999999,38.75000000000001,443.71
20.740283968060854,63.83203052484072,38.75000000000001,443.63
7.015633607146074,66.74929501567999,38.75000000000001,443.69
-7.015633607146081,66.74929501567999,38.75000000000001,443.55
-20.740283968060847,63.832030524840725,38.75000000000001,443.58
-33.55848439664698,58.125,38.75000000000001,443.59
-44.91001802562538,49.87762806046418,38.75000000000001,443.6
-54.29876836470784,39.45036443527236,38.75000000000001,443.69
-61.31440197185391,27.298930580407653,38.75000000000001,443.63
-65.65030199368623,13.95440246437654,38.75000000000001,443.6
-67.11696879329399,8.219458100118028e-15,38.75000000000001,443.59
-65.65030199368623,-13.954402464376553,38.75000000000001,443.51
-61.31440197185392,-27.29893058040764,38.75000000000001,443.46
-54.298768364707854,-39.45036443527235,38.75000000000001,443.42
-44.91001802562537,-49.87762806046419,38.75000000000001,443.28
-33.558484396647025,-58.12499999999998,38.75000000000001,443.17
-20.74028396806086,-63.83203052484072,38.75000000000001,443.13
-7.015633607146068,-66.74929501568,38.75000000000001,443.13
7.015633607146043,-66.74929501568,38.75000000000001,443.13
20.740283968060837,-63.832030524840725,38.75000000000001,443.19
33.558484396647,-58.12499999999999,38.75000000000001,443.33
44.91001802562535,-49.877628060464204,38.75000000000001,443.37
54.29876836470784,-39.45036443527237,38.75000000000001,443.6
61.314401971853925,-27.298930580407635,38.75000000000001,443.68
65.65030199368623,-13.954402464376578,38.75000000000001,443.8
0.0,0.0,0.0,443.63,Centro
73.7068800128744,0.0,23.948817064058428,443.95
72.09620784216759,15.324522048378427,23.948817064058428,443.93
67.33458543276961,29.979288948027325,23.948817064058428,443.91
59.63011853277053,43.32381706405842,23.948817064058428,443.89
49.31952931583425,54.77488648365078,23.948817064058428,443.87
36.853440006437204,63.83203052484071,23.948817064058428,443.77
22.776678526333335,70.0994085320292,23.948817064058428,443.68
7.7044668999990815,73.30310601208573,23.948817064058428,443.58
-7.704466899999089,73.30310601208573,23.948817064058428,443.55
-22.776678526333324,70.09940853202922,23.948817064058428,443.56
-36.85344000643718,63.83203052484072,23.948817064058428,443.61
-49.31952931583425,54.77488648365078,23.948817064058428,443.64
-59.630118532770524,43.32381706405843,23.948817064058428,443.68
