Fecha procesado,2026-05-27 18:28:17
Fecha y Hora,2026-05-27 12:47:21
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),3
Velocidad (mm/min),1000
Radio maximo (mm),85
Paso radial (mm),85
Resol theta (deg),4
Resol phi (deg),4
Sentido cascarones,adentro_afuera
Sigma (automatico),1.0
Archivo origen,Measurement_Spherical_85_85_4_4_R2.csv

X,Y,Z,T_robot (C),radio,theta_deg,phi_deg,x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
4.5421,3.8113,84.7929,21.9,84.99999999999999,4.0,39.99999999999999,458.61430862027635,35.64298690026553,59.19701309973447,463.7906779424924
4.2652,4.1188,84.7929,20.9,84.99999999999999,4.0,43.99999999999999,458.6194046386669,35.680544886845496,59.17999999999999,463.7964337880871
3.9675,4.4063,84.7929,19.8,84.99999999999999,4.0,48.0,458.5939757249813,35.73945511315449,59.18244201342002,463.7761363693714
3.6504,4.6724,84.7929,21.3,84.99999999999999,4.0,52.0,458.5510392992034,35.76701309973447,59.182986900265526,463.735873970187
3.3156,4.9156,84.7929,21.6,84.99999999999999,4.0,56.0,458.6267306789269,35.738910226309,59.14272443422748,463.803417032376
2.9647,5.1349,84.7929,23.0,84.99999999999999,4.0,59.999999999999986,458.5246215608019,35.74511597315993,59.168102873425454,463.70616374062956
2.5992,5.3292,84.7929,20.5,84.99999999999999,4.0,64.0,458.55909169814123,35.77597380053106,59.14298690026552,463.73942443993866
2.2212,5.4976,84.7929,21.8,84.99999999999999,4.0,68.0,458.58158418604876,35.809999999999995,59.1283653394635,463.7624273723597
1.8323,5.6391,84.7929,21.8,84.99999999999999,4.0,71.99999999999999,458.52864776027087,35.7794551131545,59.1305448868455,463.70800247965536
1.4344,5.7532,84.7929,21.3,84.99999999999999,4.0,75.99999999999999,458.54869823475855,35.76597380053105,59.112986900265525,463.7245505199858
1.0296,5.8392,84.7929,22.0,84.99999999999999,4.0,79.99999999999999,458.55815334791293,35.809455113154506,59.12,463.73814968940076
0.6198,5.8968,84.7929,20.2,84.99999999999999,4.0,83.99999999999999,458.6076084610675,35.77646821288898,59.12945511315449,463.7857120245795
0.2069,5.9257,84.7929,20.7,84.99999999999999,4.0,87.99999999999999,458.50342074453573,35.75,59.10462156080201,463.677480178072
-0.2069,5.9257,84.7929,21.3,84.99999999999999,4.0,91.99999999999999,458.58950558764195,35.82298690026552,59.12646821288897,463.77102137682584
-0.6198,5.8968,84.7929,21.5,84.99999999999999,4.0,96.0,458.6240261994688,35.84646821288897,59.080544886845495,463.8011184493579
-1.0296,5.8392,84.7929,20.8,84.99999999999999,4.0,100.0,458.59353178711103,35.86999999999999,59.10353178711102,463.7757127822522
-1.4344,5.7532,84.7929,21.0,84.99999999999999,4.0,104.0,458.58239153893237,35.93402619946894,59.10353178711102,463.7696535330668
-1.8323,5.6391,84.7929,20.5,84.99999999999999,4.0,107.99999999999997,458.5635822615985,35.90646821288897,59.11348131262344,463.7501882576555
-2.2212,5.4976,84.7929,21.5,84.99999999999999,4.0,112.0,458.54755798657993,35.94,59.11293642577794,463.7368712840655
-2.5992,5.3292,84.7929,20.7,84.99999999999999,4.0,115.99999999999997,458.56592332604345,35.94,59.11597380053105,463.7554182909908
-2.9647,5.1349,84.7929,19.0,84.99999999999999,4.0,119.99999999999997,458.5585972857833,35.942986900265524,59.11293642577794,463.74801854552
-3.3156,4.9156,84.7929,21.5,84.99999999999999,4.0,124.0,458.54412714844403,35.947557986579966,59.12701309973447,463.735859240606
-3.6504,4.6724,84.7929,20.5,84.99999999999999,4.0,128.0,458.5915841860488,35.92999999999999,59.118910226309005,463.7803914921547
-3.9675,4.4063,84.7929,20.9,84.99999999999999,4.0,131.99999999999997,458.59217954738193,35.92,59.117013099734464,463.7799637542057
-4.2652,4.1188,84.7929,20.9,84.99999999999999,4.0,136.0,458.6230878492406,35.82244201342003,59.14,463.8059116270265
-4.5421,3.8113,84.7929,21.9,84.99999999999999,4.0,139.99999999999997,458.70207859840684,35.839999999999996,59.14,463.8853760472505
-4.7969,3.4852,84.7929,21.1,84.99999999999999,4.0,143.99999999999997,458.65891022630905,35.8105448868455,59.12,463.83786548219433
-5.0283,3.1421,84.7929,20.2,84.99999999999999,4.0,147.99999999999997,458.67597380053104,35.81999999999999,59.109999999999985,463.8541941622016
-5.2353,2.7836,84.7929,21.1,84.99999999999999,4.0,151.99999999999997,458.6160747495062,35.81054488684549,59.08,463.7904112244425
-5.4167,2.4117,84.7929,20.9,84.99999999999999,4.0,155.99999999999997,458.70103929920333,35.77651868737656,59.079455113154495,463.8717330901126
-5.5717,2.0279,84.7929,21.6,84.99999999999999,4.0,159.99999999999997,458.6729869002655,35.79244201342003,59.076468212888976,463.84484142200364
-5.6996,1.6343,84.7929,21.6,84.99999999999999,4.0,163.99999999999997,458.73714409707907,35.86353178711102,59.05646821288897,463.9112272023273
-5.7997,1.2328,84.7929,19.9,84.99999999999999,4.0,167.99999999999997,458.7065186873765,35.86298690026552,59.068910226309,463.88248541093344
-5.8716,0.8252,84.7929,22.1,84.99999999999999,4.0,171.99999999999997,458.7156913797236,35.85999999999999,59.06592332604347,463.89094452935365
-5.9149,0.4136,84.7929,21.6,84.99999999999999,4.0,175.99999999999997,458.6572755657725,35.868910226309005,59.08108977369099,463.83580103209687
-5.9293,0.0,84.7929,20.0,84.99999999999999,4.0,180.0,458.8101309973447,35.85999999999999,59.077013099734465,463.98574265012365
-5.9149,-0.4136,84.7929,21.8,84.99999999999999,4.0,183.99999999999997,458.71914217262884,35.92244201342003,59.08353178711103,463.9014302243943
-5.8716,-0.8252,84.7929,20.7,84.99999999999999,4.0,188.0,458.69874870924616,35.735973800531056,59.06999999999999,463.8651385811402
-5.7997,-1.2328,84.7929,20.5,84.99999999999999,4.0,192.0,458.6881028734254,35.839999999999996,59.08244201342004,463.8642218062212
-5.6996,-1.6343,84.7929,21.8,84.99999999999999,4.0,196.0,458.56298690026557,35.81701309973447,59.05701309973447,463.73548729695244
-5.5717,-2.0279,84.7929,20.7,84.99999999999999,4.0,200.0,458.475448868455,35.75108977369099,59.04,463.64167115902967
-5.4167,-2.4117,84.7929,21.1,84.99999999999999,4.0,204.0,458.56,35.70298690026553,59.057013099734476,463.72374067958043
-5.2353,-2.7836,84.7929,20.8,84.99999999999999,4.0,208.0,458.63537843919795,35.77005047448758,59.0494551131545,463.8024849180674
-5.0283,-3.1421,84.7929,21.1,84.99999999999999,4.0,212.0,458.59511597315986,35.813531787111025,59.06054488684549,463.7674389344658
-4.7969,-3.4852,84.7929,21.4,84.99999999999999,4.0,215.99999999999994,458.6121290728944,35.80298690026552,59.08597380053106,463.78668707037156
-4.5421,-3.8113,84.7929,21.2,84.99999999999999,4.0,220.0,458.6159233260434,35.819455113154504,59.10402619946894,463.79401074808
-4.2652,-4.1188,84.7929,21.8,84.99999999999999,4.0,224.0,458.6428859512903,35.77701309973447,59.104571086314444,463.8174660611263
-3.9675,-4.4063,84.7929,21.6,84.99999999999999,4.0,228.0,458.61108977369094,35.760544886845494,59.1194551131545,463.7866516049085
-3.6504,-4.6724,84.7929,21.3,84.99999999999999,4.0,231.99999999999994,458.6,35.752986900265526,59.112986900265525,463.7742783861148
-3.3156,-4.9156,84.7929,20.5,84.99999999999999,4.0,236.0,458.51696262524683,35.70592332604348,59.11054488684549,463.68822984033903
-2.9647,-5.1349,84.7929,20.9,84.99999999999999,4.0,239.99999999999994,458.50239153893244,35.752986900265526,59.09054488684551,463.6748986242789
-2.5992,-5.3292,84.7929,21.3,84.99999999999999,4.0,243.99999999999994,458.5418971265745,35.69592332604348,59.1,463.71077231668534
-2.2212,-5.4976,84.7929,20.6,84.99999999999999,4.0,248.0,458.4861552723633,35.69701309973447,59.09348131262345,463.6549049177865
-1.8323,-5.6391,84.7929,20.6,84.99999999999999,4.0,252.0,458.53740656311714,35.62402619946894,59.06646821288897,463.69653020853417
-1.4344,-5.7532,84.7929,22.2,84.99999999999999,4.0,256.0,458.5225429623951,35.652986900265525,59.08,463.6857818389647
-1.0296,-5.8392,84.7929,21.2,84.99999999999999,4.0,259.99999999999994,458.58140271421655,35.665973800531056,59.08244201342003,463.7452959941996
-0.6198,-5.8968,84.7929,20.6,84.99999999999999,4.0,263.99999999999994,458.62231054472664,35.65841581395108,59.075115973159924,463.7842339655226
-0.2069,-5.9257,84.7929,21.3,84.99999999999999,4.0,267.99999999999994,458.494621560802,35.74054488684549,59.1,463.66746117124893
0.2069,-5.9257,84.7929,21.6,84.99999999999999,4.0,272.0,458.570595361333,35.69,59.0905448868455,463.7374898852493
0.6198,-5.8968,84.7929,22.2,84.99999999999999,4.0,276.0,458.56018147183215,35.69597380053106,59.10298690026552,463.72923741940275
1.0296,-5.8392,84.7929,22.1,84.99999999999999,4.0,279.99999999999994,458.56379425314907,35.738910226309,59.117013099734464,463.7379047930445
1.4344,-5.7532,84.7929,20.9,84.99999999999999,4.0,283.99999999999994,458.5134308381358,35.682986900265526,59.124884026840064,463.68479997113315
1.8323,-5.6391,84.7929,20.7,84.99999999999999,4.0,287.99999999999994,458.5018971265745,35.72651868737655,59.14,463.6786747373523
2.2212,-5.4976,84.7929,20.9,84.99999999999999,4.0,291.99999999999994,458.431685135024,35.752986900265526,59.16054488684549,463.61390841877983
2.5992,-5.3292,84.7929,20.6,84.99999999999999,4.0,295.99999999999994,458.4304944123579,35.65945511315449,59.169999999999995,463.6067340388036
2.9647,-5.1349,84.7929,20.5,84.99999999999999,4.0,300.0,458.46156423127945,35.76407667395652,59.187013099734465,463.6476869104389
3.3156,-4.9156,84.7929,21.8,84.99999999999999,4.0,303.99999999999994,458.471089773691,35.72054488684549,59.2,463.6554081268642
3.6504,-4.6724,84.7929,20.8,84.99999999999999,4.0,308.0,458.479505587642,35.79,59.22755798657995,463.672605152539
3.9675,-4.4063,84.7929,21.9,84.99999999999999,4.0,311.99999999999994,458.41444008896974,35.836468212888974,59.21755798657996,463.61058067083735
4.2652,-4.1188,84.7929,21.3,84.99999999999999,4.0,315.99999999999994,458.481089773691,35.813481312623445,59.204076673956514,463.67298586246824
4.5421,-3.8113,84.7929,22.2,84.99999999999999,4.0,319.99999999999994,458.51971757919245,35.79244201342003,59.22054488684548,463.7116596020433
4.7969,-3.4852,84.7929,22.5,84.99999999999999,4.0,323.99999999999994,458.5398990510248,35.867013099734464,59.19999999999999,463.734753550368
5.0283,-3.1421,84.7929,21.8,84.99999999999999,4.0,327.99999999999994,458.4506458358206,35.899455113154495,59.18244201342002,463.64676962896465
5.2353,-2.7836,84.7929,21.8,84.99999999999999,4.0,331.99999999999994,458.4603328952949,35.8694551131545,59.182986900265526,463.65409583763653
5.4167,-2.4117,84.7929,21.3,84.99999999999999,4.0,335.99999999999994,458.4943896144821,35.831089773690984,59.177557986579956,463.68411194646495
5.5717,-2.0279,84.7929,20.4,84.99999999999999,4.0,339.99999999999994,458.50891022630884,35.86646821288897,59.169999999999995,463.70024067169027
5.6996,-1.6343,84.7929,22.3,84.99999999999999,4.0,343.99999999999994,458.49179617759927,35.923531787111024,59.19646821288897,463.6911139401966
5.7997,-1.2328,84.7929,21.6,84.99999999999999,4.0,347.99999999999994,458.4891421726288,35.940544886845494,59.22646821288896,463.69363894054953
5.8716,-0.8252,84.7929,21.6,84.99999999999999,4.0,351.99999999999994,458.47755798657994,35.83755798657997,59.209999999999994,463.6721102673518
5.9149,-0.4136,84.7929,20.6,84.99999999999999,4.0,356.0,458.465973800531,35.89999999999999,59.21597380053105,463.6662492418597
11.8009,-0.8252,84.1728,21.5,84.99999999999999,8.0,356.0,458.4724924879075,35.839999999999996,59.32597380053106,463.6821143148134
11.7146,-1.6464,84.1728,23.4,84.99999999999999,8.0,351.99999999999994,458.4721290728944,35.97,59.29999999999999,463.68849892641583
11.5712,-2.4595,84.1728,20.5,84.99999999999999,8.0,347.99999999999994,458.4400504744875,35.896468212888976,59.29293642577795,463.65017914285437
11.3715,-3.2607,84.1728,20.7,84.99999999999999,8.0,343.99999999999994,458.42184665208697,35.91054488684549,59.30298690026552,463.6345554175969
11.1163,-4.046,84.1728,20.8,84.99999999999999,8.0,339.99999999999994,458.4478204526179,35.91,59.31054488684549,463.6611617469489
10.807,-4.8116,84.1728,21.3,84.99999999999999,8.0,335.99999999999994,458.4343391399945,35.84706357422205,59.29701309973446,463.64123094497097
10.445,-5.5537,84.1728,20.1,84.99999999999999,8.0,331.99999999999994,458.4538447276366,35.89298690026552,59.266468212888974,463.66016489299994
10.0322,-6.2688,84.1728,20.5,84.99999999999999,8.0,327.99999999999994,458.4029364257779,35.90646821288897,59.249455113154504,463.608697626031
9.5704,-6.9533,84.1728,20.9,84.99999999999999,8.0,323.99999999999994,458.4151664476475,35.893531787111016,59.26462156080201,463.6217270815959
9.0621,-7.604,84.1728,21.3,84.99999999999999,8.0,319.99999999999994,458.4089607007965,35.7794551131545,59.28407667395652,463.6092604835048
8.5096,-8.2176,84.1728,21.1,84.99999999999999,8.0,315.99999999999994,458.39891022630894,35.7805448868455,59.305923326043484,463.6022010631763
7.9156,-8.7912,84.1728,20.5,84.99999999999999,8.0,311.99999999999994,458.4167306789271,35.728910226309,59.29108977369098,463.61394211010037
7.2831,-9.3219,84.1728,21.4,84.99999999999999,8.0,308.0,458.41462156080206,35.65651868737655,59.2494551131545,463.600960435634
6.6151,-9.8073,84.1728,21.4,84.99999999999999,8.0,303.99999999999994,458.3967506336964,35.71592332604348,59.20810287342545,463.5825790691807
5.9149,-10.2448,84.1728,22.0,84.99999999999999,8.0,300.0,458.4048335523525,35.78651868737656,59.193481312623454,463.5941485543469
5.1858,-10.6325,84.1728,21.7,84.99999999999999,8.0,295.99999999999994,458.435378439198,35.730544886845486,59.19999999999999,463.6208667031733
4.4315,-10.9683,84.1728,21.5,84.99999999999999,8.0,291.99999999999994,458.4440261994689,35.69,59.209999999999994,463.62757182676194
3.6556,-11.2507,84.1728,21.8,84.99999999999999,8.0,287.99999999999994,458.4971241423097,35.721089773690984,59.21706357422206,463.6833722700676
