X (mm),Y (mm),RingNumber,Angle (deg)
-270.55120516760394,-49.2650523429851,0.0,87.08136749267578
-273.01978470639693,-32.942330805100596,0.0,200.01138305664062
-274.5044997757406,-16.500897032295693,0.0,127.9425277709961
-275.0,0.0,0.0,327.95697021484375
-274.5044997757406,16.500897032295693,0.0,180.39825439453125
-273.01978470639693,32.942330805100596,0.0,226.44659423828125
-270.55120516760394,49.2650523429851,0.0,287.92041015625
-258.9367428711333,92.6108157360068,0.0,281.8941345214844
-252.91323469404819,107.98099701611066,0.0,359.3210144042969
-245.97831877507898,122.96205387267098,0.0,83.75845336914062
-238.15698604072065,137.49999999999997,0.0,319.7740783691406
-229.47742174278324,151.54244590306962,0.0,3.043757677078247
-219.97090388894762,165.03878769028626,0.0,178.5460968017578
-209.6716905281482,177.94038943159717,0.0,18.687461853027344
-177.94038943159717,209.67169052814816,0.0,312.994384765625
-165.03878769028626,219.9709038889476,0.0,227.4898681640625
-151.54244590306962,229.4774217427833,0.0,124.796630859375
-137.50000000000003,238.15698604072062,0.0,234.31712341308594
-122.96205387267099,245.97831877507898,0.0,274.21624755859375
-107.98099701611065,252.91323469404819,0.0,119.57624053955078
-92.61081573600683,258.9367428711333,0.0,313.72833251953125
-49.26505234298512,270.55120516760394,0.0,263.7987060546875
-32.942330805100596,273.01978470639693,0.0,293.49908447265625
-16.50089703229567,274.5044997757406,0.0,267.6794128417969
-1.6838893488276108e-14,275.0,0.0,156.49501037597656
16.500897032295697,274.5044997757406,0.0,209.23748779296875
32.94233080510056,273.01978470639693,0.0,270.939697265625
49.26505234298508,270.55120516760394,0.0,287.8630676269531
92.6108157360068,258.9367428711333,0.0,39.575008392333984
107.98099701611068,252.91323469404819,0.0,221.30845642089844
122.96205387267096,245.97831877507898,0.0,192.81912231445312
137.49999999999994,238.15698604072065,0.0,235.94052124023438
151.54244590306965,229.47742174278324,0.0,176.26959228515625
165.03878769028626,219.97090388894762,0.0,164.90231323242188
177.9403894315971,209.67169052814822,0.0,246.19874572753906
209.6716905281482,177.94038943159717,0.0,284.37237548828125
219.9709038889476,165.03878769028628,0.0,267.2276306152344
229.4774217427832,151.54244590306968,0.0,53.47150421142578
238.15698604072065,137.49999999999997,0.0,98.8934326171875
245.97831877507895,122.962053872671,0.0,147.46473693847656
252.91323469404816,107.98099701611072,0.0,211.42527770996094
258.9367428711333,92.6108157360068,0.0,148.56024169921875
270.55120516760394,49.265052342985136,0.0,333.0582275390625
273.01978470639693,32.942330805100546,0.0,38.32401657104492
274.5044997757406,16.500897032295686,0.0,120.8443374633789
275.0,3.3677786976552216e-14,0.0,264.76910400390625
274.5044997757406,-16.50089703229562,0.0,188.3892822265625
273.01978470639693,-32.9423308051006,0.0,307.1353759765625
270.551205167604,-49.265052342985065,0.0,326.8586120605469
258.9367428711333,-92.61081573600684,0.0,34.46942901611328
252.91323469404819,-107.98099701611066,0.0,97.3104019165039
245.97831877507898,-122.96205387267095,0.0,104.37687683105469
238.15698604072062,-137.50000000000003,0.0,263.210693359375
229.47742174278324,-151.54244590306962,0.0,53.05162811279297
219.97090388894762,-165.03878769028623,0.0,223.47227478027344
209.67169052814822,-177.9403894315971,0.0,73.96070098876953
177.94038943159717,-209.67169052814816,0.0,266.85797119140625
165.03878769028628,-219.9709038889476,0.0,203.23316955566406
151.54244590306968,-229.4774217427832,0.0,112.01712036132812
137.5000000000001,-238.1569860407206,0.0,342.9784851074219
122.96205387267091,-245.978318775079,0.0,11.588119506835938
107.98099701611063,-252.9132346940482,0.0,237.8931884765625
92.61081573600681,-258.9367428711333,0.0,127.0911865234375
49.26505234298503,-270.551205167604,0.0,283.6294860839844
32.94233080510057,-273.01978470639693,0.0,68.50584411621094
16.500897032295704,-274.5044997757406,0.0,261.5714111328125
5.051668046482832e-14,-275.0,0.0,359.35479736328125
-16.5008970322956,-274.5044997757406,0.0,218.07582092285156
-32.94233080510046,-273.01978470639693,0.0,293.16546630859375
-49.26505234298517,-270.55120516760394,0.0,21.58214569091797
-92.61081573600673,-258.9367428711333,0.0,84.0889663696289
-107.98099701611054,-252.91323469404824,0.0,125.71363830566406
-122.96205387267104,-245.97831877507895,0.0,84.66271209716797
-137.50000000000003,-238.15698604072062,0.0,347.7613220214844
-151.54244590306962,-229.4774217427833,0.0,69.37088775634766
-165.03878769028623,-219.97090388894765,0.0,238.47360229492188
-177.9403894315971,-209.67169052814825,0.0,149.36090087890625
-209.67169052814816,-177.9403894315972,0.0,342.8855895996094
-219.97090388894756,-165.0387876902863,0.0,293.2060852050781
-229.4774217427832,-151.5424459030697,0.0,335.7579040527344
-238.15698604072054,-137.5000000000001,0.0,344.5081787109375
-245.978318775079,-122.96205387267092,0.0,351.4260559082031
-252.9132346940482,-107.98099701611065,0.0,164.44232177734375
-258.9367428711333,-92.61081573600683,0.0,121.1898193359375
-270.55120516760394,-49.2650523429851,1.0,38.17719650268555
-273.01978470639693,-32.942330805100596,1.0,86.3404769897461
-274.5044997757406,-16.500897032295693,1.0,313.6518249511719
-275.0,0.0,1.0,315.6963195800781
-274.5044997757406,16.500897032295693,1.0,54.89077377319336
-273.01978470639693,32.942330805100596,1.0,298.4608154296875
-270.55120516760394,49.2650523429851,1.0,320.78466796875
-258.9367428711333,92.6108157360068,1.0,335.3606872558594
-252.91323469404819,107.98099701611066,1.0,291.594482421875
-245.97831877507898,122.96205387267098,1.0,287.80364990234375
-238.15698604072065,137.49999999999997,1.0,45.04941940307617
-229.47742174278324,151.54244590306962,1.0,229.48695373535156
-219.97090388894762,165.03878769028626,1.0,11.487992286682129
-209.6716905281482,177.94038943159717,1.0,0.0
-177.94038943159717,209.67169052814816,1.0,128.44937133789062
-165.03878769028626,219.9709038889476,1.0,322.798095703125
-151.54244590306962,229.4774217427833,1.0,348.9259033203125
-137.50000000000003,238.15698604072062,1.0,120.03861999511719
-122.96205387267099,245.97831877507898,1.0,150.40028381347656
-107.98099701611065,252.91323469404819,1.0,333.8353576660156
-92.61081573600683,258.9367428711333,1.0,271.9333190917969
-49.26505234298512,270.55120516760394,1.0,215.4536895751953
-32.942330805100596,273.01978470639693,1.0,167.53741455078125
-16.50089703229567,274.5044997757406,1.0,69.68778228759766
-1.6838893488276108e-14,275.0,1.0,342.5289611816406
16.500897032295697,274.5044997757406,1.0,357.7293395996094
32.94233080510056,273.01978470639693,1.0,313.3534851074219
49.26505234298508,270.55120516760394,1.0,261.3603820800781
92.6108157360068,258.9367428711333,1.0,263.962646484375
107.98099701611068,252.91323469404819,1.0,171.77426147460938
122.96205387267096,245.97831877507898,1.0,37.280494689941406
137.49999999999994,238.15698604072065,1.0,81.16307830810547
151.54244590306965,229.47742174278324,1.0,89.39665985107422
165.03878769028626,219.97090388894762,1.0,338.81768798828125
177.9403894315971,209.67169052814822,1.0,49.20988464355469
209.6716905281482,177.94038943159717,1.0,177.71591186523438
219.9709038889476,165.03878769028628,1.0,63.91637420654297
229.4774217427832,151.54244590306968,1.0,328.0941467285156
238.15698604072065,137.49999999999997,1.0,24.90625
245.97831877507895,122.962053872671,1.0,50.23793029785156
252.91323469404816,107.98099701611072,1.0,59.85942840576172
258.9367428711333,92.6108157360068,1.0,105.56170654296875
270.55120516760394,49.265052342985136,1.0,175.8730926513672
273.01978470639693,32.942330805100546,1.0,260.27850341796875
274.5044997757406,16.500897032295686,1.0,176.24615478515625
275.0,3.3677786976552216e-14,1.0,155.30068969726562
274.5044997757406,-16.50089703229562,1.0,102.89906311035156
273.01978470639693,-32.9423308051006,1.0,234.40390014648438
270.551205167604,-49.265052342985065,1.0,32.65045166015625
258.9367428711333,-92.61081573600684,1.0,126.0791244506836
252.91323469404819,-107.98099701611066,1.0,79.25767517089844
245.97831877507898,-122.96205387267095,1.0,141.6650390625
238.15698604072062,-137.50000000000003,1.0,236.73593139648438
229.47742174278324,-151.54244590306962,1.0,111.56340026855469
219.97090388894762,-165.03878769028623,1.0,228.6675262451172
209.67169052814822,-177.9403894315971,1.0,286.4627990722656
177.94038943159717,-209.67169052814816,1.0,107.44694519042969
165.03878769028628,-219.9709038889476,1.0,221.11529541015625
151.54244590306968,-229.4774217427832,1.0,244.34938049316406
137.5000000000001,-238.1569860407206,1.0,93.78704833984375
122.96205387267091,-245.978318775079,1.0,193.83555603027344
107.98099701611063,-252.9132346940482,1.0,221.1735382080078
