X (mm),Y (mm),RingNumber,Angle (deg)
-270.55120516760394,-49.2650523429851,0.0,195.47201538085938
-273.01978470639693,-32.942330805100596,0.0,121.45379638671875
-274.5044997757406,-16.500897032295693,0.0,261.546142578125
-275.0,0.0,0.0,252.85159301757812
-274.5044997757406,16.500897032295693,0.0,172.17457580566406
-273.01978470639693,32.942330805100596,0.0,161.3457489013672
-270.55120516760394,49.2650523429851,0.0,190.79757690429688
-258.9367428711333,92.6108157360068,0.0,77.46273040771484
-252.91323469404819,107.98099701611066,0.0,261.5758361816406
-245.97831877507898,122.96205387267098,0.0,139.40716552734375
-238.15698604072065,137.49999999999997,0.0,56.124019622802734
-229.47742174278324,151.54244590306962,0.0,229.386474609375
-219.97090388894762,165.03878769028626,0.0,220.9250030517578
-209.6716905281482,177.94038943159717,0.0,214.9028778076172
-177.94038943159717,209.67169052814816,0.0,93.14933013916016
-165.03878769028626,219.9709038889476,0.0,217.6049346923828
-151.54244590306962,229.4774217427833,0.0,162.9911346435547
-137.50000000000003,238.15698604072062,0.0,63.86119842529297
-122.96205387267099,245.97831877507898,0.0,179.8115692138672
-107.98099701611065,252.91323469404819,0.0,159.4010467529297
-92.61081573600683,258.9367428711333,0.0,183.55059814453125
-49.26505234298512,270.55120516760394,0.0,125.52852630615234
-32.942330805100596,273.01978470639693,0.0,45.24571990966797
-16.50089703229567,274.5044997757406,0.0,88.33946228027344
-1.6838893488276108e-14,275.0,0.0,66.43855285644531
16.500897032295697,274.5044997757406,0.0,96.38327026367188
32.94233080510056,273.01978470639693,0.0,89.6896743774414
49.26505234298508,270.55120516760394,0.0,59.775474548339844
92.6108157360068,258.9367428711333,0.0,348.0100402832031
107.98099701611068,252.91323469404819,0.0,348.611328125
122.96205387267096,245.97831877507898,0.0,300.3708190917969
137.49999999999994,238.15698604072065,0.0,342.2503662109375
151.54244590306965,229.47742174278324,0.0,326.4451904296875
165.03878769028626,219.97090388894762,0.0,297.1171875
177.9403894315971,209.67169052814822,0.0,336.69970703125
209.6716905281482,177.94038943159717,0.0,245.02236938476562
219.9709038889476,165.03878769028628,0.0,269.8135070800781
229.4774217427832,151.54244590306968,0.0,4.658687591552734
238.15698604072065,137.49999999999997,0.0,149.2410888671875
245.97831877507895,122.962053872671,0.0,203.92874145507812
252.91323469404816,107.98099701611072,0.0,188.9086456298828
258.9367428711333,92.6108157360068,0.0,163.82681274414062
270.55120516760394,49.265052342985136,0.0,154.68064880371094
273.01978470639693,32.942330805100546,0.0,107.8149185180664
274.5044997757406,16.500897032295686,0.0,344.1958312988281
275.0,3.3677786976552216e-14,0.0,93.98310852050781
274.5044997757406,-16.50089703229562,0.0,66.81362915039062
273.01978470639693,-32.9423308051006,0.0,44.9554443359375
270.551205167604,-49.265052342985065,0.0,60.12664794921875
258.9367428711333,-92.61081573600684,0.0,319.36187744140625
252.91323469404819,-107.98099701611066,0.0,337.6709289550781
245.97831877507898,-122.96205387267095,0.0,300.1627197265625
238.15698604072062,-137.50000000000003,0.0,291.2089538574219
229.47742174278324,-151.54244590306962,0.0,287.2716064453125
219.97090388894762,-165.03878769028623,0.0,7.391445636749268
209.67169052814822,-177.9403894315971,0.0,243.40695190429688
177.94038943159717,-209.67169052814816,0.0,228.10401916503906
165.03878769028628,-219.9709038889476,0.0,226.9418182373047
151.54244590306968,-229.4774217427832,0.0,168.9390411376953
137.5000000000001,-238.1569860407206,0.0,168.73094177246094
122.96205387267091,-245.978318775079,0.0,153.69224548339844
107.98099701611063,-252.9132346940482,0.0,175.68881225585938
92.61081573600681,-258.9367428711333,0.0,162.0380096435547
49.26505234298503,-270.551205167604,0.0,140.13438415527344
32.94233080510057,-273.01978470639693,0.0,131.63661193847656
16.500897032295704,-274.5044997757406,0.0,100.60736083984375
5.051668046482832e-14,-275.0,0.0,70.31285095214844
-16.5008970322956,-274.5044997757406,0.0,98.72065734863281
-32.94233080510046,-273.01978470639693,0.0,118.70687103271484
-49.26505234298517,-270.55120516760394,0.0,51.73897933959961
-92.61081573600673,-258.9367428711333,0.0,321.8264465332031
-107.98099701611054,-252.91323469404824,0.0,37.51585006713867
-122.96205387267104,-245.97831877507895,0.0,298.7250671386719
-137.50000000000003,-238.15698604072062,0.0,27.290966033935547
-151.54244590306962,-229.4774217427833,0.0,338.5374450683594
-165.03878769028623,-219.97090388894765,0.0,22.688344955444336
-177.9403894315971,-209.67169052814825,0.0,317.026611328125
-209.67169052814816,-177.9403894315972,0.0,1.3956995010375977
-219.97090388894756,-165.0387876902863,0.0,92.27506256103516
-229.4774217427832,-151.5424459030697,0.0,0.946611225605011
-238.15698604072054,-137.5000000000001,0.0,267.4532775878906
-245.978318775079,-122.96205387267092,0.0,320.52880859375
-252.9132346940482,-107.98099701611065,0.0,30.57565689086914
-258.9367428711333,-92.61081573600683,0.0,240.10401916503906
-270.55120516760394,-49.2650523429851,1.0,352.94732666015625
-273.01978470639693,-32.942330805100596,1.0,181.65121459960938
-274.5044997757406,-16.500897032295693,1.0,311.3211364746094
-275.0,0.0,1.0,304.8476867675781
-274.5044997757406,16.500897032295693,1.0,301.6096496582031
-273.01978470639693,32.942330805100596,1.0,119.76049041748047
-270.55120516760394,49.2650523429851,1.0,8.293671607971191
-258.9367428711333,92.6108157360068,1.0,124.65092468261719
-252.91323469404819,107.98099701611066,1.0,44.348636627197266
-245.97831877507898,122.96205387267098,1.0,342.3241882324219
-238.15698604072065,137.49999999999997,1.0,96.17124938964844
-229.47742174278324,151.54244590306962,1.0,225.8450469970703
-219.97090388894762,165.03878769028626,1.0,122.83560943603516
-209.6716905281482,177.94038943159717,1.0,205.59136962890625
-177.94038943159717,209.67169052814816,1.0,151.08712768554688
-165.03878769028626,219.9709038889476,1.0,330.50885009765625
-151.54244590306962,229.4774217427833,1.0,1.80829656124115
-137.50000000000003,238.15698604072062,1.0,154.32232666015625
-122.96205387267099,245.97831877507898,1.0,193.41184997558594
-107.98099701611065,252.91323469404819,1.0,156.0216522216797
-92.61081573600683,258.9367428711333,1.0,79.13382720947266
-49.26505234298512,270.55120516760394,1.0,115.59461212158203
-32.942330805100596,273.01978470639693,1.0,100.7955551147461
-16.50089703229567,274.5044997757406,1.0,145.26123046875
-1.6838893488276108e-14,275.0,1.0,112.59827423095703
16.500897032295697,274.5044997757406,1.0,66.1219253540039
32.94233080510056,273.01978470639693,1.0,50.74464797973633
49.26505234298508,270.55120516760394,1.0,62.842891693115234
92.6108157360068,258.9367428711333,1.0,52.84297561645508
107.98099701611068,252.91323469404819,1.0,155.57778930664062
122.96205387267096,245.97831877507898,1.0,54.42155838012695
137.49999999999994,238.15698604072065,1.0,315.3847961425781
151.54244590306965,229.47742174278324,1.0,293.75885009765625
165.03878769028626,219.97090388894762,1.0,333.22711181640625
177.9403894315971,209.67169052814822,1.0,37.452919006347656
209.6716905281482,177.94038943159717,1.0,277.6465759277344
219.9709038889476,165.03878769028628,1.0,6.172377109527588
229.4774217427832,151.54244590306968,1.0,194.5664520263672
