Fecha procesado,2026-05-11 13:01:00
Fecha y Hora,2026-05-08 17:32:21
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),3
Velocidad (mm/min),1000
Eje rapido,Z
Sigma (automatico),1.0
Archivo origen,Measurement_Parallelepiped_170x170x170_5_R2.csv

X,Y,Z,T_robot (C),x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
-85.0,-85.0,35.0,25.0,459.25641773840135,25.20646821288897,59.86353178711101,463.82697820599316
-85.0,-85.0,40.0,25.0,459.03348131262345,25.023531787111022,59.94462156080202,463.60680728733365
-85.0,-85.0,45.0,24.1,458.830332895295,24.90353178711102,59.81597380053106,463.38257520323816
-85.0,-85.0,50.0,23.8,458.7734308381358,24.783481312623444,59.61054488684549,463.293318374735
-85.0,-85.0,55.0,25.0,458.8404439378703,24.659455113154504,59.33701309973447,463.317950055011
-85.0,-85.0,60.0,25.4,458.79493450132765,24.63701309973447,58.90597380053105,463.2166750970251
-85.0,-85.0,65.0,23.3,459.0328859512903,24.71244201342003,58.50945511315451,463.40614099586037
-85.0,-85.0,70.0,23.2,459.2191926471164,24.92,58.09407667395651,463.54956050035145
-85.0,-85.0,75.0,23.4,459.801089773691,25.233531787111023,57.9,464.1187167994036
-85.0,-85.0,80.0,23.6,460.3805448868455,25.75244201342003,57.87597380053105,464.71826166326093
-85.0,-85.0,85.0,23.4,461.01272443422744,26.312986900265525,58.279999999999994,465.42632474955957
-85.0,-80.0,85.0,23.6,461.57234106444486,26.607013099734473,56.92163466053648,465.8294018996968
-85.0,-80.0,80.0,24.7,460.86519696736576,26.059999999999995,56.48348131262344,465.04433878605846
-85.0,-80.0,75.0,22.3,460.2616346605365,25.625923326043477,56.43701309973446,464.41640446297873
-85.0,-80.0,70.0,24.3,459.85675063369644,25.319455113154504,56.67348131262344,464.02714295038925
-85.0,-80.0,65.0,24.9,459.40784040738737,25.14755798657996,57.14298690026552,463.6305473675692
-85.0,-80.0,60.0,24.2,459.24254296239525,25.073531787111023,57.599999999999994,463.51931487570903
-85.0,-80.0,55.0,23.9,459.25875880284616,25.097063574222048,57.9905448868455,463.58534643952305
-85.0,-80.0,50.0,24.2,459.2705448868454,25.201634660536484,58.357013099734466,463.648678169307
-85.0,-80.0,45.0,23.9,459.397063574222,25.3594551131545,58.59592332604347,463.812727525545
-85.0,-80.0,40.0,23.7,459.5281028734254,25.496518687376554,58.752986900265526,463.96989478340936
-85.0,-80.0,35.0,23.8,459.55241149370175,25.639999999999993,58.782442013420024,464.00560772337406
-85.0,-80.0,30.0,24.5,459.6753784391979,25.789999999999996,58.831089773690984,464.14186922446453
-85.0,-80.0,25.0,24.3,459.7806758841902,25.883481312623445,58.730000000000004,464.2385565863565
-85.0,-80.0,20.0,23.7,459.80457108631447,25.93945511315451,58.652986900265525,464.25561040849004
-85.0,-80.0,15.0,23.5,459.84646821288896,25.95651868737655,58.56348131262345,464.2867611010351
-85.0,-80.0,10.0,24.2,459.8039757249813,25.98,58.488910226309,464.2365874335633
-85.0,-80.0,5.0,24.2,459.75135223972893,25.93244201342003,58.369505587642095,464.1667767274867
-85.0,-80.0,0.0,24.0,459.78288595129044,25.870544886845494,58.33755798657996,464.19054059542964
-85.0,-80.0,-5.0,23.5,459.5403833697826,25.807557986579965,58.400544886845495,463.95475818225844
-85.0,-80.0,-10.0,23.9,459.4781028734254,25.750544886845493,58.52108977369099,463.90509323614026
-85.0,-80.0,-15.0,23.5,459.46316837209787,25.68701309973447,58.65244201342003,463.90336783283897
-85.0,-80.0,-20.0,23.5,459.50516644764747,25.664884026840063,58.949999999999996,463.98145088375173
-85.0,-80.0,-25.0,24.6,459.60283547680274,25.68,59.24298690026552,464.1163219228365
-85.0,-80.0,-30.0,22.7,459.80054488684556,25.76103929920341,59.5105448868455,464.35081261557457
-85.0,-80.0,-35.0,22.7,460.10576180898056,26.007013099734472,59.9505448868455,464.7232989773826
-85.0,-80.0,-40.0,23.1,460.5829364257779,26.31059536133307,60.151140248178564,465.2387004839731
-85.0,-80.0,-45.0,24.1,460.9766701108392,26.73402619946894,60.21402619946895,465.6607429174825
-85.0,-80.0,-50.0,24.3,461.60082730765293,27.182986900265522,59.90244201342003,466.26445404630704
-85.0,-80.0,-55.0,24.0,462.1322804963571,27.606468212888977,59.15108977369099,466.71963016930005
-85.0,-80.0,-60.0,25.2,462.5689102263089,27.93,57.97999999999999,467.0243698223413
-85.0,-80.0,-65.0,25.2,462.61402619946887,28.059999999999995,56.35755798657997,466.878223071813
-85.0,-80.0,-70.0,24.0,462.2591926471164,27.876468212888973,54.35755798657996,466.27824609030654
-85.0,-80.0,-75.0,23.8,461.4286982347585,27.297013099734468,52.169455113154505,465.1701006358796
-85.0,-80.0,-80.0,23.8,460.0373260402601,26.227557986579964,50.077013099734465,463.4975009524894
-85.0,-80.0,-85.0,24.7,458.04265400497053,24.7,48.329505587642075,461.2471181462959
-85.0,-75.0,-85.0,24.1,457.8716346605365,24.918910226309006,49.993531787111024,461.26645134252664
-85.0,-75.0,-80.0,23.6,459.67651868737653,26.240000000000002,51.381634660536484,463.2829716414525
-85.0,-75.0,-75.0,23.4,460.9957618089806,27.198102873425462,53.00483355235247,464.82936824782104
-85.0,-75.0,-70.0,22.6,461.88514649287816,27.777013099734468,54.793531787111014,465.95255352148837
-85.0,-75.0,-65.0,24.2,462.2399495255125,28.021089773690992,56.436518687376555,466.5147725967573
-85.0,-75.0,-60.0,24.8,462.31217954738196,28.03244201342003,57.81293642577795,466.75550857087643
-85.0,-75.0,-55.0,22.8,462.05945511315446,27.818910226309004,58.86999999999999,466.6245907854028
-85.0,-75.0,-50.0,24.2,461.6588092773338,27.510000000000005,59.559455113154506,466.2970994727948
-85.0,-75.0,-45.0,23.8,461.2429869002656,27.157013099734467,59.90999999999999,465.90965264220245
-85.0,-75.0,-40.0,23.8,460.77529744499225,26.83108977369099,59.9905448868455,465.4381243406964
-85.0,-75.0,-35.0,23.5,460.4467811534145,26.572986900265526,59.85646821288896,465.08080877871396
-85.0,-75.0,-30.0,24.7,460.13787092710555,26.38407667395652,59.588910226309004,464.7298333281671
-85.0,-75.0,-25.0,24.2,459.8970635742221,26.29646821288897,59.34298690026552,464.4549530567078
-85.0,-75.0,-20.0,24.2,459.8461857920814,26.230544886845493,58.991089773691,464.35601077758645
-85.0,-75.0,-15.0,23.8,459.8384158139511,26.233481312623443,58.755973800531045,464.3186714502365
-85.0,-75.0,-10.0,24.8,459.8810392992033,26.26646821288897,58.63701309973446,464.34771127308517
-85.0,-75.0,-5.0,24.2,459.88329984079115,26.30999999999999,58.55701309973447,464.34231915217197
-85.0,-75.0,0.0,23.0,459.8697880084494,26.355923326043474,58.49488402684006,464.32371043768376
-85.0,-75.0,5.0,23.8,459.9851664476475,26.390544886845493,58.52646821288897,464.44392739357556
-85.0,-75.0,10.0,24.3,459.97036341501314,26.41537843919798,58.577557986579954,464.4371192507081
-85.0,-75.0,15.0,23.9,460.0347830778648,26.407557986579967,58.64999999999999,464.50961589649864
-85.0,-75.0,20.0,22.8,460.0372755657724,26.389999999999997,58.678910226309,464.5147376729027
-85.0,-75.0,25.0,24.0,459.9116651802546,26.3394551131545,58.739999999999995,464.3951919050546
-85.0,-75.0,30.0,24.5,459.87457108631435,26.2894551131545,58.826468212888976,464.3665685042047
-85.0,-75.0,35.0,23.8,459.734621560802,26.179455113154503,58.8,464.21840348232155
-85.0,-75.0,40.0,24.1,459.61184665208685,26.087557986579963,58.76,464.0865736741848
-85.0,-75.0,45.0,23.9,459.577820452618,25.965973800531053,58.573531787111015,464.02248164653014
-85.0,-75.0,50.0,23.3,459.5548335523524,25.876518687376556,58.45701309973447,463.9800228902652
-85.0,-75.0,55.0,23.9,459.495640905236,25.779455113154505,58.0583653394635,463.8659268611301
-85.0,-75.0,60.0,23.1,459.62288595129036,25.771897126574537,57.66108977369099,463.94201064959105
-85.0,-75.0,65.0,26.0,459.7575579865799,25.8194551131545,57.309999999999995,464.0345811339103
-85.0,-75.0,70.0,24.6,460.03511597315986,25.949999999999992,56.98950558764208,464.2774107961344
-85.0,-75.0,75.0,23.8,460.5947830778648,26.209455113154505,56.74298690026552,464.8163683630747
-85.0,-75.0,80.0,23.3,461.08130176524145,26.56,56.87298690026552,465.33422083110054
-85.0,-75.0,85.0,24.0,461.72901117528403,26.965923326043477,57.28298690026551,466.04954819197883
-85.0,-70.0,85.0,24.6,461.8943590947639,27.219999999999995,57.61217954738198,466.26868927235773
-85.0,-70.0,80.0,25.3,461.4488597518214,26.927063574222046,57.230544886845486,465.7633006013157
-85.0,-70.0,75.0,22.5,460.86438961448215,26.652986900265528,57.11646821288896,465.154445605488
-85.0,-70.0,70.0,24.1,460.47805239893785,26.44701309973447,57.19054488684549,464.76901754255385
-85.0,-70.0,65.0,23.9,460.1887487092461,26.296518687376548,57.347013099734475,464.4931336899592
-85.0,-70.0,60.0,23.9,459.9818971265745,26.240000000000002,57.686518687376555,464.32705900306047
-85.0,-70.0,55.0,24.1,459.8376084610675,26.210544886845497,57.942986900265524,464.2143993343848
-85.0,-70.0,50.0,24.4,459.8440766739565,26.271897126574537,58.204076673956514,464.2569352979239
-85.0,-70.0,45.0,24.5,459.848910226309,26.361089773690992,58.41108977369098,464.2927769187571
-85.0,-70.0,40.0,24.8,459.8740261994689,26.45,58.54189712657453,464.3391822709863
-85.0,-70.0,35.0,23.6,459.953037374753,26.553531787111023,58.628910226309,464.4343180202715
-85.0,-70.0,30.0,23.8,460.02,26.640544886845493,58.653531787111,464.5087252387943
-85.0,-70.0,25.0,24.2,460.1254793881732,26.699455113154503,58.65945511315449,464.61731495899693
-85.0,-70.0,20.0,23.7,460.083531787111,26.735973800531056,58.63646821288897,464.57497126001675
-85.0,-70.0,15.0,24.8,460.19026246603795,26.76701309973447,58.60651868737655,464.67867897235834
-85.0,-70.0,10.0,24.7,460.1375579865799,26.7705448868455,58.569999999999986,464.62208217366486
-85.0,-70.0,5.0,23.7,460.1543086202764,26.753531787111022,58.50646821288896,464.6296869848442
-85.0,-70.0,0.0,24.6,460.1307768331653,26.735378439197977,58.54999999999999,464.61082074073494
-85.0,-70.0,-5.0,23.0,460.0980523989378,26.707013099734475,58.59,464.58182322385915
-85.0,-70.0,-10.0,24.2,460.0381028734254,26.672986900265528,58.72407667395651,464.5374274552813
-85.0,-70.0,-15.0,24.5,460.10239153893235,26.64701309973447,58.8194551131545,464.6116682852367
-85.0,-70.0,-20.0,24.7,460.1119476010621,26.66,58.99701309973447,464.64438819373765
-85.0,-70.0,-25.0,23.5,460.195973800531,26.70597380053105,59.23701309973447,464.76076325334503
-85.0,-70.0,-30.0,23.8,460.3769626252469,26.840544886845493,59.47646821288897,464.97829286639774
