Fecha procesado,2026-06-02 14:10:08
Fecha y Hora,2026-06-01 16:23:35
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),3
Velocidad (mm/min),1000
Radio maximo (mm),100
Paso radial (mm),100
Resol theta (deg),3
Resol phi (deg),3
Sentido cascarones,adentro_afuera
Sigma (automatico),1.0
Archivo origen,Measurement_Spherical_100_100_6_6.csv

X,Y,Z,T_robot (C),radio,theta_deg,phi_deg,x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
6.9943,-7.768,99.4522,22.3,100.0,6.0,311.99999999999994,457.4308578273711,36.89,54.119949525512425,462.09612715248824
6.5782,-8.1234,99.4522,23.4,100.0,6.0,309.0,457.4138447276366,36.928647760270955,54.06054488684549,462.07541904691624
6.144,-8.4565,99.4522,22.7,100.0,6.0,305.99999999999994,457.41412714844415,36.853481312623444,54.06592332604347,462.0703267522494
5.693,-8.7665,99.4522,24.2,100.0,6.0,303.0,457.44610479787576,36.839999999999996,54.065973800531054,462.10091313234693
5.2264,-9.0524,99.4522,23.0,100.0,6.0,300.0,457.5004439378703,36.75646821288897,54.04542891368556,462.1456507912822
4.7455,-9.3136,99.4522,23.6,100.0,6.0,296.99999999999994,457.4818971265745,36.805923326043484,54.07348131262344,462.134508094428
4.2516,-9.5492,99.4522,23.1,100.0,6.0,294.0,457.41750751209236,36.752986900265526,54.05706357422204,462.0646322181926
3.746,-9.7586,99.4522,23.4,100.0,6.0,291.0,457.40488402684,36.838910226309004,54.06054488684549,462.0593855249903
3.2301,-9.9412,99.4522,22.8,100.0,6.0,287.99999999999994,457.4275579865799,36.86353178711102,54.05348131262344,462.0829683329601
2.7054,-10.0967,99.4522,22.5,100.0,6.0,284.99999999999994,457.44389520212417,36.82999999999999,54.05597380053105,462.09675876510505
2.1733,-10.2244,99.4522,22.9,100.0,6.0,282.0,457.5081533479129,36.792986900265525,54.08,462.1602326735399
1.6352,-10.3242,99.4522,23.4,100.0,6.0,278.99999999999994,457.4829869002656,36.82999999999999,54.09,462.1394381603766
1.0926,-10.3956,99.4522,22.5,100.0,6.0,276.0,457.4251159731598,36.86244201342003,54.069455113154504,462.0823328482543
0.5471,-10.4385,99.4522,23.4,100.0,6.0,273.0,457.46402619946895,36.77244201342003,54.050544886845486,462.1114683286097
0.0,-10.4528,99.4522,21.7,100.0,6.0,270.0,457.39483355235245,36.80841581395108,54.06402619946894,462.0474133289935
-0.5471,-10.4385,99.4522,22.9,100.0,6.0,266.99999999999994,457.41787092710564,36.75,54.029999999999994,462.061589015454
-1.0926,-10.3956,99.4522,23.4,100.0,6.0,263.99999999999994,457.44402619946885,36.68701309973447,54.006518687376555,462.0797313197046
-1.6352,-10.3242,99.4522,23.4,100.0,6.0,260.99999999999994,457.4712207710357,36.76787092710559,54.00054488684549,462.11238136878586
-2.1733,-10.2244,99.4522,23.0,100.0,6.0,258.0,457.48680110818395,36.63810287342546,54.02706357422205,462.1205982953106
-2.7054,-10.0967,99.4522,21.9,100.0,6.0,254.99999999999997,457.4740261994689,36.77891022630901,54.027557986579964,462.1191944797148
-3.2301,-9.9412,99.4522,22.9,100.0,6.0,252.0,457.48625622133846,36.80402619946894,54.012986900265524,462.13159784827053
-3.746,-9.7586,99.4522,22.2,100.0,6.0,249.0,457.54805239893784,36.83353178711102,54.00054488684549,462.19366954346043
-4.2516,-9.5492,99.4522,22.2,100.0,6.0,245.99999999999997,457.54031294052555,36.67407667395653,53.99114024817857,462.17222881832674
-4.7455,-9.3136,99.4522,24.0,100.0,6.0,242.99999999999997,457.53467203528953,36.73462156080201,53.999999999999986,462.17248786103147
-5.2264,-9.0524,99.4522,22.1,100.0,6.0,239.99999999999994,457.4680523989378,36.66298690026552,53.988960700796575,462.0995579436086
-5.693,-8.7665,99.4522,22.4,100.0,6.0,236.99999999999997,457.4557618089805,36.71353178711102,53.99701309973447,462.0923445072541
-6.144,-8.4565,99.4522,22.3,100.0,6.0,233.99999999999997,457.55376373343086,36.766468212888974,53.9905448868455,462.19281563937807
