x,y,z,B
-70.0,-65.0,-85.0,45.8337
-65.0,-65.0,-85.0,45.845146
-60.0,-65.0,-85.0,45.84418
-55.0,-65.0,-85.0,45.85422
-50.0,-65.0,-85.0,45.860897
-45.0,-65.0,-85.0,45.85082
-40.0,-65.0,-85.0,45.857838
-35.0,-65.0,-85.0,45.844677
-30.0,-65.0,-85.0,45.826405
-25.0,-65.0,-85.0,45.818558
-20.0,-65.0,-85.0,45.788258
-15.0,-65.0,-85.0,45.768074
-10.0,-65.0,-85.0,45.763733
-5.0,-65.0,-85.0,45.755806
0.0,-65.0,-85.0,45.754723
5.0,-65.0,-85.0,45.750732
10.0,-65.0,-85.0,45.72784
15.0,-65.0,-85.0,45.719215
20.0,-65.0,-85.0,45.735046
25.0,-65.0,-85.0,45.72434
30.0,-65.0,-85.0,45.71577
35.0,-65.0,-85.0,45.72441
40.0,-65.0,-85.0,45.718334
45.0,-65.0,-85.0,45.712894
50.0,-65.0,-85.0,45.692307
55.0,-65.0,-85.0,45.701897
60.0,-65.0,-85.0,45.67094
65.0,-65.0,-85.0,45.675545
70.0,-65.0,-85.0,45.67415
75.0,-65.0,-85.0,45.65855
80.0,-65.0,-85.0,45.75094
85.0,-65.0,-85.0,45.550777
-85.0,-60.0,-85.0,45.94196
-80.0,-60.0,-85.0,45.88997
-75.0,-60.0,-85.0,45.86881
-70.0,-60.0,-85.0,45.86378
-65.0,-60.0,-85.0,45.87198
-60.0,-60.0,-85.0,45.87686
-55.0,-60.0,-85.0,45.866447
-50.0,-60.0,-85.0,45.8912
-45.0,-60.0,-85.0,45.88538
-40.0,-60.0,-85.0,45.88709
-35.0,-60.0,-85.0,45.872086
-30.0,-60.0,-85.0,45.860485
-25.0,-60.0,-85.0,45.85084
-20.0,-60.0,-85.0,45.81509
-15.0,-60.0,-85.0,45.803947
-10.0,-60.0,-85.0,45.793007
-5.0,-60.0,-85.0,45.77969
0.0,-60.0,-85.0,45.77272
5.0,-60.0,-85.0,45.769543
10.0,-60.0,-85.0,45.76258
15.0,-60.0,-85.0,45.737392
20.0,-60.0,-85.0,45.763092
25.0,-60.0,-85.0,45.748535
30.0,-60.0,-85.0,45.746513
35.0,-60.0,-85.0,45.75497
40.0,-60.0,-85.0,45.751263
45.0,-60.0,-85.0,45.74011
50.0,-60.0,-85.0,45.72133
55.0,-60.0,-85.0,45.72781
60.0,-60.0,-85.0,45.706284
65.0,-60.0,-85.0,45.70524
70.0,-60.0,-85.0,45.70722
75.0,-60.0,-85.0,45.688995
80.0,-60.0,-85.0,45.7231
85.0,-60.0,-85.0,45.709625
-85.0,-55.0,-85.0,45.95404
-80.0,-55.0,-85.0,45.903187
-75.0,-55.0,-85.0,45.895943
-70.0,-55.0,-85.0,45.88532
-65.0,-55.0,-85.0,45.896877
-60.0,-55.0,-85.0,45.899197
-55.0,-55.0,-85.0,45.907536
-50.0,-55.0,-85.0,45.924232
-45.0,-55.0,-85.0,45.918262
-40.0,-55.0,-85.0,45.91564
-35.0,-55.0,-85.0,45.896744
-30.0,-55.0,-85.0,45.875683
-25.0,-55.0,-85.0,45.872265
-20.0,-55.0,-85.0,45.83399
-15.0,-55.0,-85.0,45.829525
-10.0,-55.0,-85.0,45.81019
-5.0,-55.0,-85.0,45.79435
0.0,-55.0,-85.0,45.787487
5.0,-55.0,-85.0,45.786312
10.0,-55.0,-85.0,45.781906
15.0,-55.0,-85.0,45.76302
20.0,-55.0,-85.0,45.77492
25.0,-55.0,-85.0,45.770912
30.0,-55.0,-85.0,45.769066
35.0,-55.0,-85.0,45.781864
40.0,-55.0,-85.0,45.762333
45.0,-55.0,-85.0,45.767742
50.0,-55.0,-85.0,45.75543
55.0,-55.0,-85.0,45.766773
60.0,-55.0,-85.0,45.751472
65.0,-55.0,-85.0,45.740005
70.0,-55.0,-85.0,45.743263
75.0,-55.0,-85.0,45.723053
80.0,-55.0,-85.0,45.84563
85.0,-55.0,-85.0,45.702213
-85.0,-50.0,-85.0,45.950855
-80.0,-50.0,-85.0,45.91656
-75.0,-50.0,-85.0,45.921097
-70.0,-50.0,-85.0,45.919537
-65.0,-50.0,-85.0,45.92836
-60.0,-50.0,-85.0,45.929966
-55.0,-50.0,-85.0,45.94541
-50.0,-50.0,-85.0,45.950317
-45.0,-50.0,-85.0,45.938793
-40.0,-50.0,-85.0,45.937286
-35.0,-50.0,-85.0,45.929237
-30.0,-50.0,-85.0,45.90256
-25.0,-50.0,-85.0,45.88112
