Fecha y Hora,2025-10-03 13:33:54
X,Y,Z,Gauss
0.0,0.0,232.5,443.89
48.339468115129044,0.0,227.41931717060982,444.1
47.283134757561776,10.050340549047645,227.41931717060982,444.12
44.16030152143548,19.661432989217268,227.41931717060982,444.14
39.1074512041853,28.413226461735086,227.41931717060982,444.04
32.34541761094099,35.92322559608764,227.41931717060982,444.0
24.16973405756453,41.86320739312963,227.41931717060982,444.0
14.937717146620784,45.97356614513528,227.41931717060982,444.0
5.052850317250172,48.07465945095235,227.41931717060982,443.95
-5.052850317250177,48.07465945095235,227.41931717060982,444.01
-14.937717146620779,45.97356614513529,227.41931717060982,444.0
-24.16973405756451,41.86320739312963,227.41931717060982,443.89
-32.34541761094099,35.92322559608764,227.41931717060982,443.88
-39.1074512041853,28.413226461735093,227.41931717060982,443.9
-44.16030152143547,19.66143298921728,227.41931717060982,443.9
-47.283134757561776,10.050340549047645,227.41931717060982,443.82
-48.339468115129044,5.9198774899678325e-15,227.41931717060982,443.87
-47.28313475756177,-10.050340549047654,227.41931717060982,443.76
-44.16030152143548,-19.661432989217268,227.41931717060982,443.65
-39.10745120418531,-28.413226461735082,227.41931717060982,443.6
-32.345417610940984,-35.92322559608764,227.41931717060982,443.54
-24.169734057564543,-41.86320739312961,227.41931717060982,443.53
-14.93771714662079,-45.97356614513528,227.41931717060982,443.44
-5.052850317250167,-48.07465945095235,227.41931717060982,443.52
5.052850317250149,-48.07465945095235,227.41931717060982,443.52
14.937717146620773,-45.97356614513529,227.41931717060982,443.61
24.16973405756453,-41.86320739312963,227.41931717060982,443.6
32.34541761094097,-35.923225596087654,227.41931717060982,443.7
39.1074512041853,-28.413226461735096,227.41931717060982,443.81
44.16030152143548,-19.661432989217264,227.41931717060982,443.97
47.28313475756177,-10.050340549047672,227.41931717060982,443.94
94.56626951512355,0.0,212.3993189019047,444.38
92.49976963656454,19.661432989217268,212.3993189019047,444.39
86.39058596174708,38.46356701078273,212.3993189019047,444.35
76.50571913237647,55.58465858530491,212.3993189019047,444.35
63.277185261749835,70.27643385486472,212.3993189019047,444.22
47.28313475756178,81.89679174122291,212.3993189019047,444.08
29.222584374814698,89.93786684408198,212.3993189019047,444.03
9.884866829370608,94.04822559608763,212.3993189019047,443.87
-9.884866829370619,94.04822559608763,212.3993189019047,443.89
-29.222584374814687,89.937866844082,212.3993189019047,443.81
-47.283134757561754,81.89679174122293,212.3993189019047,443.88
-63.277185261749835,70.27643385486472,212.3993189019047,443.89
-76.50571913237647,55.584658585304915,212.3993189019047,444.04
-86.39058596174706,38.463567010782754,212.3993189019047,444.01
-92.49976963656454,19.661432989217264,212.3993189019047,443.93
-94.56626951512355,1.1581027926900199e-14,212.3993189019047,443.95
-92.49976963656452,-19.661432989217285,212.3993189019047,443.78
-86.39058596174708,-38.46356701078273,212.3993189019047,443.7
-76.50571913237648,-55.5846585853049,212.3993189019047,443.55
-63.27718526174982,-70.27643385486473,212.3993189019047,443.35
-47.28313475756182,-81.8967917412229,212.3993189019047,443.22
-29.22258437481471,-89.93786684408198,212.3993189019047,443.05
-9.8848668293706,-94.04822559608765,212.3993189019047,443.05
9.884866829370564,-94.04822559608765,212.3993189019047,443.08
29.222584374814677,-89.937866844082,212.3993189019047,443.21
47.28313475756178,-81.89679174122291,212.3993189019047,443.44
63.27718526174979,-70.27643385486475,212.3993189019047,443.61
76.50571913237647,-55.58465858530493,212.3993189019047,443.9
86.39058596174709,-38.463567010782725,212.3993189019047,444.12
92.49976963656452,-19.661432989217317,212.3993189019047,444.3
136.660071158,0.0,188.0964511921753,444.87
133.67372071930885,28.413226461735086,188.0964511921753,444.86
124.8451872475055,55.5846585853049,188.0964511921753,444.78
110.5603200193116,80.32677440391235,188.0964511921753,444.53
91.44343627899725,101.55822473044019,188.0964511921753,444.24
68.33003557900001,118.35109330581706,188.0964511921753,444.08
42.2302844403116,129.97145119217527,188.0964511921753,443.86
14.28486722819391,135.91143298921725,188.0964511921753,443.66
-14.284867228193923,135.91143298921725,188.0964511921753,443.58
-42.230284440311586,129.97145119217527,188.0964511921753,443.62
-68.33003557899997,118.35109330581707,188.0964511921753,443.74
-91.44343627899725,101.55822473044019,188.0964511921753,443.93
-110.56032001931159,80.32677440391237,188.0964511921753,444.12
-124.84518724750549,55.58465858530493,188.0964511921753,444.29
-133.67372071930885,28.413226461735082,188.0964511921753,444.37
-136.660071158,1.6736031871489423e-14,188.0964511921753,444.25
-133.67372071930885,-28.413226461735107,188.0964511921753,444.07
-124.8451872475055,-55.5846585853049,188.0964511921753,443.84
-110.56032001931162,-80.32677440391234,188.0964511921753,443.41
-91.44343627899724,-101.5582247304402,188.0964511921753,443.03
-68.33003557900005,-118.35109330581703,188.0964511921753,442.72
-42.23028444031162,-129.97145119217527,188.0964511921753,442.44
-14.284867228193896,-135.91143298921727,188.0964511921753,442.35
14.284867228193846,-135.91143298921727,188.0964511921753,442.47
42.23028444031157,-129.97145119217527,188.0964511921753,442.7
68.33003557900001,-118.35109330581706,188.0964511921753,443.09
